group,x_metric,y_metric,n,pearson,log_log_pearson,spearman
forward_euler_ratio8,parameter_rel_error,extrapolate_mse,12,-0.20804056283300165,-0.10839464433323465,-0.31468531468531474
forward_euler_ratio8,model_vf_rel_error,extrapolate_mse,12,-0.09263757170184754,-0.07352270632326412,-0.02097902097902098
forward_euler_ratio8,residual_mse,extrapolate_mse,12,-0.09469501915120902,-0.07352270632326624,-0.02097902097902098
forward_euler_ratio8,residual_rel_error,extrapolate_mse,12,-0.35536321815621785,-0.28054959316298017,0.034965034965034975
forward_euler_ratio16,best_loss,extrapolate_mse,12,-0.5062970763403324,-0.5570784616767016,-0.21678321678321683
forward_euler_ratio16,validation_mse,extrapolate_mse,12,-0.2867369264317275,-0.3093623928093387,-0.1258741258741259
forward_euler_ratio16,parameter_rel_error,model_vf_rel_error,12,0.8136324938246464,0.8373435795014199,0.8251748251748254
forward_euler_ratio16,parameter_rel_error,extrapolate_mse,12,0.046554285186682684,0.15131213959657053,0.2867132867132868
forward_euler_ratio16,model_vf_rel_error,extrapolate_mse,12,0.03995186980356174,0.14836189450475679,0.2027972027972028
forward_euler_ratio16,residual_mse,extrapolate_mse,12,-0.00023587485736651184,0.14836189450475615,0.2027972027972028
forward_euler_ratio16,residual_rel_error,extrapolate_mse,12,-0.5863056701975047,-0.6089914989989875,-0.7622377622377624
heun,best_loss,extrapolate_mse,60,0.0760493231730922,0.20876997291377225,0.2995832175604335
heun,validation_mse,extrapolate_mse,60,0.1839805627137019,0.22494502853325987,0.26351764378994175
heun,parameter_rel_error,model_vf_rel_error,60,0.29121600499336303,0.3109812445445872,0.11180883578771883
heun,parameter_rel_error,extrapolate_mse,60,0.23517701771251492,0.2860118204523343,0.28885801611558776
heun,model_vf_rel_error,extrapolate_mse,60,-0.48235713582566137,-0.44532685985483744,-0.43195332036676864
heun,residual_mse,extrapolate_mse,60,-0.45702335573263625,-0.4453268598548373,-0.43195332036676864
heun,residual_rel_error,extrapolate_mse,60,-0.4825407442105771,-0.4322048902281881,-0.4574048346762991
heun_ratio1,best_loss,extrapolate_mse,12,0.15376674482932862,0.5448976459301885,0.5034965034965035
heun_ratio1,validation_mse,extrapolate_mse,12,0.3939406006085076,0.6732700617420304,0.7132867132867133
heun_ratio1,parameter_rel_error,model_vf_rel_error,12,0.5132629945034952,0.5285553631769364,0.3076923076923077
