training_solver,ratio,h,search_stage,alpha,loss
forward_euler,2,0.025,global_grid,0.019700000000000002,433.7856803127258
forward_euler,2,0.025,global_grid,0.0198,436.77658648324154
forward_euler,2,0.025,global_grid,0.0199,439.7562734571102
forward_euler,2,0.025,global_grid,0.02,442.72474179841294
forward_euler,2,0.025,local_refinement,0.005076393202250022,0.4650954317833022
forward_euler,2,0.025,local_refinement,0.00512360679774998,0.49913950035355253
forward_euler,2,0.025,local_refinement,0.005047213595499958,0.46073461253628045
forward_euler,2,0.025,local_refinement,0.005051817023270577,0.46056721140314405
forward_euler,2,0.025,local_refinement,0.005051920158206394,0.46056714403027027
forward_euler,2,0.025,local_refinement,0.005051911638308333,0.4605671434836832
forward_euler,2,0.025,local_refinement,0.005051911713573626,0.46056714348368877
forward_euler,2,0.025,local_refinement,0.005051911563043041,0.46056714348375494
forward_euler,4,0.0125,global_grid,0.0,462.32080929978486
forward_euler,4,0.0125,global_grid,0.0001,438.22883574976726
forward_euler,4,0.0125,global_grid,0.0002,414.8647010109425
forward_euler,4,0.0125,global_grid,0.00030000000000000003,392.23443491146196
forward_euler,4,0.0125,global_grid,0.0004,370.3431397679276
forward_euler,4,0.0125,global_grid,0.0005,349.19484999135085
forward_euler,4,0.0125,global_grid,0.0006000000000000001,328.79239715620275
forward_euler,4,0.0125,global_grid,0.0007,309.1372840795269
forward_euler,4,0.0125,global_grid,0.0008,290.2295715580611
forward_euler,4,0.0125,global_grid,0.0009000000000000001,272.06778135285015
forward_euler,4,0.0125,global_grid,0.001,254.64881877600567
forward_euler,4,0.0125,global_grid,0.0011,237.9679178176041
forward_euler,4,0.0125,global_grid,0.0012000000000000001,222.0186111602143
forward_euler,4,0.0125,global_grid,0.0013000000000000002,206.79272668693537
forward_euler,4,0.0125,global_grid,0.0014,192.28041123221325
forward_euler,4,0.0125,global_grid,0.0015,178.4701814008226
forward_euler,4,0.0125,global_grid,0.0016,165.34900034406328
forward_euler,4,0.0125,global_grid,0.0017000000000000001,152.90237849085844
forward_euler,4,0.0125,global_grid,0.0018000000000000002,141.11449543922558
forward_euler,4,0.0125,global_grid,0.0019,129.9683395666229
forward_euler,4,0.0125,global_grid,0.002,119.44586144967055
forward_euler,4,0.0125,global_grid,0.0021000000000000003,109.52813691347188
