training_config,regularization_profile,parameter,true_value,learned_mean,learned_std,learned_min,learned_max,abs_error_mean,abs_error_std,relative_error_mean,relative_error_std,n_runs
heun_ratio8,none,a,1.0,0.9221897367263047,0.01914387010873749,0.9001108470585814,0.934167124000078,0.0778102632736953,0.019143870108737495,0.0778102632736175,0.01914387010871835,3
heun_ratio8,none,b,0.05,0.04991584355790693,6.19293777078223e-05,0.04986265131684439,0.049983830340927904,8.41564420930747e-05,6.19293777078223e-05,0.0016831288418278313,0.0012385875541316743,3
heun_ratio8,none,r,1.5,1.4986349724327732,0.0009810577390858373,1.4975128697295752,1.4993307027731837,0.0013650275672270062,0.0009810577390858373,0.0009100183781507307,0.0006540384927234554,3
heun_ratio8,none,z,0.03,0.029956209023406264,4.406741654241469e-05,0.029930430914847345,0.030007092209338733,4.851911615288973e-05,3.5878331885494264e-05,0.001617303871709081,0.0011959443961432773,3
heun_ratio8,l2_small,a,1.0,0.9215725900273948,0.019273164656699263,0.89933409637632,0.933427993074512,0.07842740997260518,0.019273164656699263,0.07842740997252674,0.01927316465667999,3
heun_ratio8,l2_small,b,0.05,0.04990602493379311,7.480395785626206e-05,0.049827372419510074,0.049976269932964,9.397506620688796e-05,7.480395785626206e-05,0.001879501324100169,0.0014960791570953196,3
heun_ratio8,l2_small,r,1.5,1.4988221272806894,0.0008928467501938663,1.4978304434320335,1.4995620955607598,0.0011778727193106537,0.0008928467501938664,0.0007852484795399123,0.0005952311667955141,3
heun_ratio8,l2_small,z,0.03,0.02996251376140241,4.215583094680008e-05,0.029931911540168523,0.030010598131840174,4.455165982437138e-05,3.0127489431553965e-05,0.0014850553274295443,0.0010042496476849905,3
heun_ratio8,ortho_small,a,1.0,0.9055767244141126,0.02547906411487966,0.8832709829609312,0.9333435390384663,0.09442327558588737,0.02547906411487966,0.09442327558579293,0.025479064114854184,3
heun_ratio8,ortho_small,b,0.05,0.05020655867269208,0.00011014696219290331,0.050085856645962226,0.050301631708431924,0.00020655867269207587,0.00011014696219290331,0.0041311734537588934,0.0022029392438140073,3
heun_ratio8,ortho_small,r,1.5,1.4979313638338592,0.0008062911746245995,1.4971294544031852,1.4987419664553603,0.0020686361661407617,0.0008062911746245995,0.001379090777426255,0.0005375274497493746,3
heun_ratio8,ortho_small,z,0.03,0.029952225441885524,2.947058595376916e-05,0.029918836183155682,0.0299746107203841,4.777455811447751e-05,2.947058595376916e-05,0.001592485270429501,0.0009823528650928935,3
heun_ratio8,l2_plus_ortho,a,1.0,0.9055174936310836,0.02565482555714489,0.8835515400984519,0.9337136263665771,0.09448250636891635,0.02565482555714489,0.09448250636882184,0.025654825557119232,3
heun_ratio8,l2_plus_ortho,b,0.05,0.05023305489085391,0.00013485566590727368,0.050101581254563154,0.05037105555090974,0.00023305489085390327,0.00013485566590727368,0.004661097816984844,0.0026971133180915315,3
heun_ratio8,l2_plus_ortho,r,1.5,1.4978230998849498,0.0007332039001760713,1.4973163220112655,1.4986638303742907,0.0021769001150499325,0.0007332039001760711,0.0014512667433656543,0.0004888026001170549,3
heun_ratio8,l2_plus_ortho,z,0.03,0.02995164677965353,1.808349859855024e-05,0.02993372087048863,0.029969883851823254,4.8353220346468904e-05,1.808349859855024e-05,0.0016117740114952378,0.0006027832865982485,3
heun_ratio16,none,a,1.0,0.921551873825575,0.019831245709894828,0.8986733992030469,0.9338336404336426,0.07844812617442491,0.019831245709894828,0.07844812617434645,0.019831245709874996,3
heun_ratio16,none,b,0.05,0.0499046740942849,7.387626277893626e-05,0.04982681962724135,0.049973795924561824,9.532590571510273e-05,7.387626277893626e-05,0.0019065181142639241,0.0014775252555491746,3
heun_ratio16,none,r,1.5,1.4988071002110095,0.000881360003677455,1.497816061574681,1.4995030622193881,0.001192899788990509,0.000881360003677455,0.0007952665259931425,0.0005875733357845784,3
heun_ratio16,none,z,0.03,0.029962083222866826,4.132521130872956e-05,0.029933017273613353,0.03000939044096625,4.417707111067463e-05,3.060842456064854e-05,0.0014725690369734024,0.0010202808186542754,3
heun_ratio16,l2_small,a,1.0,0.9214921420172364,0.019808806694686952,0.8986429684012923,0.9338251733578078,0.07850785798276365,0.019808806694686952,0.07850785798268513,0.019808806694667145,3
heun_ratio16,l2_small,b,0.05,0.04990778569257923,7.920265388059165e-05,0.0498256387247976,0.04998367249496946,9.221430742076726e-05,7.920265388059165e-05,0.0018442861483784594,0.0015840530775801517,3
heun_ratio16,l2_small,r,1.5,1.4987277763488152,0.0007824931089939964,1.4979855593757814,1.4995451257336465,0.001272223651184919,0.0007824931089939963,0.0008481491007893806,0.0005216620726623165,3
heun_ratio16,l2_small,z,0.03,0.029959892650889677,4.471954287050248e-05,0.029923313640826666,0.0300097466855653,4.6605139487188495e-05,3.39805555222701e-05,0.0015535046495211665,0.001132685184037914,3
heun_ratio16,ortho_small,a,1.0,0.9050643106244594,0.026004678151958133,0.8829665982370999,0.9337203135552196,0.09493568937554064,0.026004678151958133,0.0949356893754457,0.02600467815193212,3
heun_ratio16,ortho_small,b,0.05,0.050217838918933326,0.0001454561320099841,0.050080301584826854,0.05037009469657538,0.0002178389189333163,0.0001454561320099841,0.00435677837857919,0.0029091226401415,3
