training_config,regularization_profile,seed,vf_error_mse,vf_error_mean_norm,vf_error_max_norm
rk4_ratio1,ortho_small,1,0.004297024276365472,0.05683014884884427,0.1762801522070297
rk4_ratio1,ortho_small,2,0.006172863458906991,0.06270346129601899,0.19756941467810618
rk4_ratio1,l2_plus_ortho,0,0.002136230901707227,0.04090389059248781,0.11046634778500536
rk4_ratio1,l2_plus_ortho,1,0.00477428586535731,0.059862974968787036,0.18649731204872913
rk4_ratio1,l2_plus_ortho,2,0.0032194046126601287,0.047448293307614665,0.14062915866655892
rk4_ratio2,none,0,0.005554130389188946,0.06373181576150057,0.1876854724594005
rk4_ratio2,none,1,0.0009288002868032382,0.02763335985979599,0.05870060396292935
rk4_ratio2,none,2,0.002434802101116409,0.041746145940405294,0.13255042402890688
rk4_ratio2,l2_small,0,0.005075042920267857,0.061785868782224605,0.19246921717865334
rk4_ratio2,l2_small,1,0.0015682324643663862,0.034150817545596075,0.08928150446527743
rk4_ratio2,l2_small,2,0.0026661579384537277,0.044450127226851356,0.12941907446620235
rk4_ratio2,ortho_small,0,0.0021662051228726817,0.04119308478526429,0.110242254055048
rk4_ratio2,ortho_small,1,0.004398223932193595,0.057504419961567285,0.16731283466154617
rk4_ratio2,ortho_small,2,0.007332892739111811,0.06714690699772864,0.21447171702029125
rk4_ratio2,l2_plus_ortho,0,0.0028636973115896964,0.046519603615850634,0.12723348999323222
rk4_ratio2,l2_plus_ortho,1,0.0043042211747038595,0.05654004797332893,0.16813538015497628
rk4_ratio2,l2_plus_ortho,2,0.006890839675344428,0.06517526214257441,0.20358653597024828
rk4_ratio4,none,0,0.005454616138665026,0.06358515799764407,0.20241908192123448
rk4_ratio4,none,1,0.001168002641300482,0.030431206320317546,0.06993238331809087
rk4_ratio4,none,2,0.0025583188837202285,0.04347294158340917,0.1307103402585714
rk4_ratio4,l2_small,0,0.0056250468372351465,0.06502371559188194,0.1932357954994335
rk4_ratio4,l2_small,1,0.0008368637913979524,0.026412951692903357,0.055734780688606655
rk4_ratio4,l2_small,2,0.0027863868421996044,0.044934453440936765,0.13927457906971683
rk4_ratio4,ortho_small,0,0.002685078522562637,0.045240572564341934,0.1232113882421475
rk4_ratio4,ortho_small,1,0.004633328051343449,0.059111447385333415,0.1766894163369359
rk4_ratio4,ortho_small,2,0.00689842012249169,0.06517841266684955,0.20332144740607988
rk4_ratio4,l2_plus_ortho,0,0.0022061174517763412,0.041431004199713156,0.11102631595885559
rk4_ratio4,l2_plus_ortho,1,0.004437109827152248,0.05832279749203422,0.16710579046401844
rk4_ratio4,l2_plus_ortho,2,0.007445968950557637,0.0677234514161556,0.21385206028818537
rk4_ratio8,none,0,0.005598184942387417,0.06401541334212088,0.18964805744465335
rk4_ratio8,none,1,0.0009030475812302625,0.02711251963470461,0.060406426166130275
rk4_ratio8,none,2,0.002501315194087778,0.04347978598695875,0.12077588927185277
rk4_ratio8,l2_small,0,0.005579732588092883,0.06502416971377128,0.19979577969535348
rk4_ratio8,l2_small,1,0.0009072374102683307,0.02714563249938448,0.05919868899972317
rk4_ratio8,l2_small,2,0.0025373213414468295,0.04351620543791327,0.12794376083624914
rk4_ratio8,ortho_small,0,0.002268975734299305,0.04200025886721967,0.11085263610119762
rk4_ratio8,ortho_small,1,0.004886866322348121,0.06051734437835087,0.18671308034598655
rk4_ratio8,ortho_small,2,0.004199335061608303,0.0532001062111687,0.16572013406297437
rk4_ratio8,l2_plus_ortho,0,0.0027605271512432077,0.045858575909177156,0.13197192340424035
rk4_ratio8,l2_plus_ortho,1,0.005137220500642016,0.0619625779143929,0.1930436700551836
rk4_ratio8,l2_plus_ortho,2,0.007449783941443119,0.0677447023221918,0.2137692086758691
rk4_ratio16,none,0,0.005282862146052063,0.06322707697435184,0.19699519044201086
rk4_ratio16,none,1,0.0015679683587641374,0.034356158564802515,0.08759748410404508
rk4_ratio16,none,2,0.003169519332817072,0.04770687272884397,0.14905840032397122
